x,y,playerId,matchId,conversationId,chatTime,pred,p_toxic
w8 <PREV> report lina report lina,E,.I.,2063,8844,218,A,0.02912972126988344
you lost game <prev> + + + <PREV> all lanes lost,E,DSwissK,2332,9976,1636,O,0.4398795176796706
puck.. pls.. <prev> ? <PREV> ur tracked...,E,akasaka,2121,9110,640,O,0.5000571186103309
gg wew <prev> gg vbs gg bs <PREV> run gay toon,E,>>-TREBOR--WEW-->>,773,3521,2315,O,0.1983893254712777
canyou all report qop qop gets mmr from this smh <prev> no i wont <PREV> this game is ridiculous,I,Bicky Rib / road to 2k,2625,11169,2285,A,0.2965038521442047
with the amount of late game carrys and midas on our team we need three games to get farmed <prev> np <PREV> o-9 alche mid,I,froz,590,2669,1728,O,0.40471886342884733
really bad game <prev> nope <PREV> i much void tard,E,Wellington_Wels,1570,6893,2500,O,0.27532477236656827
end fast plz end gogogo kill me,I,oMega.Stick,1151,5181,627,O,0.2001046154859427
doee xdd <prev> :dd <PREV> die* minglee,I,Miracle-,204,865,1688,O,0.4448290617979929
lol am <prev> i turned you to stone <PREV> gg im sorry qop maybe next time we are teammates or not fucker,E,Fetty Wap,491,2164,2622,O,0.2926284150792223
pls <prev> lol <PREV> be fat and fuck us void,E,Luke,1019,4563,1532,O,0.4751645351828678
qop taste like chicken <PREV> ur flesh taste like white meat of bird tasty,E,D4D.EldestDad.420,2384,10262,735,O,0.4560412702294876
"so why try, youre gonna die",E,THY FLESH CONSUMED,2312,9883,-225,O,0.42856524612980146
lol do youknow him? <prev> ya then its step two r? <PREV> he raged,I,Maye,2964,12567,958,O,0.24311301770644436
kappa yolo <prev> lol <PREV> aegis down get the fk out,E,Beaan,1252,5580,2209,O,0.23950517368787028
afraid? <prev> cac thanh nien <PREV> lol rage quit,I,MM1910,821,3710,374,O,0.4399196856195198
i hope this techies dies in a hole,E,Psycho,2623,11155,1986,O,0.3853389681279644
no i mean ur master hmm u are his dog <prev> ye <PREV> oh ur dog dc sry,I,♥DG.Dragon♥,2396,10300,1879,O,0.3033600344589162
bitchez,E,Eefje,1045,4700,464,O,0.2743592296642789
xd gg spec u shhihtter,E,MMR RISING,1065,4801,1461,O,0.1644870349937606
end alche useless <prev> comeback realty <PREV> end i wont help this is the most noobest alche ever,E,Pineapple KAMIKAZE,985,4377,1752,O,0.5110532418171565
gg <prev> factas captain obvious captain obvious captain obvious captain obvious captain obvious <PREV> u mad?,I,DSwissK,2332,9980,2232,O,0.4439123355388569
report <prev> report low priority <PREV> report thnis moron,E,Chivodrnaskelo,727,3332,-45,A,0.017293682549083395
+ <prev> e tards in team and its gg. <PREV> just report mirana and troll to help us,E,[I.R.I] Ali_Alone 360c,2520,10816,1861,A,0.29624595632263634
sfs call <PREV> my team to pro ember pick hahahah,I,SAD LIFE !!!,2257,9619,1368,O,0.4860887551108936
looy pud <PREV> io/io cancer,I,Milanor #STILLWAITINGDOJIN.CO,2486,10668,1645,O,0.3066856293118662
crispy <prev> this game only worth +5 mmr sigh <PREV> title : go kill your friends,E,AKO-MID,2284,9756,1677,O,0.6034174270913865
i got eo <prev> lel <PREV> use lose ur team,I,Pastor Gains,2461,10535,1553,O,0.282838735573283
lol <prev> i just wanted to echo one last time babe <PREV> why u always blame others when u are also useless,E,0,822,3727,2039,O,0.33089975855785564
fucking back to 5k or no sleep,E,the joy of tilting,1358,5944,-49,O,0.49523370298480524
blame time <prev> w8 plx hes my fri ty <PREV> only retards pick alch __slur_flag__,E,XNM,339,1448,2134,A,0.44378616225463385
report lina all report lina,E,.I.,2063,8845,421,A,0.05607002390585592
haha ok u win comeback <prev> stay right there <PREV> def for your mom,E,Professor,751,3439,3291,O,0.28690627036127825
report my ficking team,E,Kuroko #MONSTAGER~GN1L,1429,6296,1699,A,0.23396147879220058
lol <prev> tinker so pro <PREV> dci lol fui,E,FU,1024,4594,3652,O,0.21982370631640397
see <prev> see what sk <PREV> u mon,E,b|ear,1824,7921,2458,O,0.15076975962694544
bg pls report doom <PREV> funny retads,E,Death,1626,7106,2484,A,0.17890535364789417
i picked a dazzle into axe oops totally didnt think <prev> doesnt matter weave is amazing synergy with your team <PREV> im gay so i wanted a hero with meatballs,E,Hash Brownie,1211,5418,1421,O,0.29973893847421873
minglee <prev> double minglee <PREV> 7-i2 sky .. smh,I,Vroksnak #bdayboystillnot7k,1617,7062,1923,O,0.2884333024024014
god dammit rubrick wtf <prev> lol <PREV> trapping me in my own warsd thats dirty but pretty cool lol,E,Jesus,462,2006,1913,O,0.4833913285988708
i wll; throw <prev> spam f9 hahahahah <PREV> put into my ass?,E,`Mr`Bully(//-),1087,4892,2692,O,0.30462272173334004
how do we know jesus wasnt born in russia? he wouldnt have found e wise men or a virgin,E,Seatech,2836,12004,288,O,0.3583023529890582
report lian all,E,.I.,2063,8846,587,A,0.1477143727709303
wtf ta? u srsly?,E,Monkey,0,4,1854,O,0.40069523599620327
gg wp 2-7 omg,I,sashafrosss,2887,12204,591,O,0.05691397022951064
bad spokesman <prev> haha <PREV> invoker fuckker,E,R.oUcHtA  ^.........^,2739,11681,1789,O,0.2910351694061756
god damn u <PREV> buddy you are badf,E,Fox!,2692,11470,1748,O,0.4880303258977123
thats like the proper ember build <prev> ember is ruling and u sucking necro <PREV> good item but no use brain,E,freeder,931,4190,4328,O,0.4103132497424196
go end gg <PREV> bat so whats the plan do we end or what bat u fucking lier,E,Boostmeister,2811,11931,2064,O,0.27590837808794993
midas buyer game loser <prev> lol ok <PREV> then we fcking solo mid,E,EIS,1451,6424,2327,O,0.42827320359387566
next time i have iy it <prev> k <PREV> dont fuck riki,E,22,2366,10200,1895,O,0.4113798395240659
please i coommend all if u reported this fukking invoker please,E,nygmA,2501,10741,2759,A,0.26382084992914057
go end ty doom thinks he is pro <prev> want cocksuck?> <PREV> keep dreaming madafaka,E,#NotJay,1310,5767,1780,O,0.407854213745908
what pudge ? pudge what r u saying? <prev> what a rembo <PREV> pudge what u said?,I,♥ jôjô ♥ツ,38,137,1379,O,0.5051037486506237
space created <PREV> pa still have nothing,I,JohnDoe,1792,7781,1025,O,0.358447168818756
"solo mid sd, commend him he said we are ak trash",E,[Noteam],1025,4595,-43,A,0.3081253827698472
gg go mid and end pls pls <PREV> go finish i afk,I,Bajlozi,665,3012,1884,A,0.1057855515970635
mid or aclick enemy fountain <prev> that i lost previous game <PREV> reprot this son of whore,E,Chivodrnaskelo,727,3332,-53,O,0.31778762121629106
harder than you anyway and? <prev> people have bad games you did as well <PREV> nope he was fb,E,mims,261,1077,2021,O,0.3228457866301363
dayuum lool <prev> one man army <PREV> report tusk and sky :) fucking usless,E,♣eƒect.♣,72,289,1801,A,0.3578688718355201
zeus ulti,E,JohnDoe,1792,7782,1673,O,0.1557047853906859
sorry <prev> ggwp <PREV> noobest alch ever,E,Justine,1394,6119,2864,O,0.47974499651968827
i5 min <prev> i said im coming back <PREV> stfu))))))))))))),E,VladUbivashka,2870,12133,1863,O,0.42935666262564814
boy btr dont lose <PREV> talk cock more,E,-4Head-,29,104,2545,O,0.4828880533245252
good luck have f uck?,E,"Hi, Can I have mossarella stick",2402,10311,-54,O,0.26195405507416236
report tiny please for fead ember <PREV> you trash,E,6k Pomoyka,585,2643,1122,A,0.2379574977218919
jugg? now diam already?> act throw? hi noob jugg just not bark? <prev> i reprot jug <PREV> he so strong bark this jugg no throw also oe,I,DD.NY,1841,7983,511,A,0.35302261346423586
lol <PREV> ggwp trash mid ever,E,GoD,1210,5415,1866,O,0.44618449475515365
