x,y,playerId,matchId,conversationId,chatTime,pred,p_toxic
ez ez <prev> noob <PREV> lina,O,<SEORATRIKA>,2764,11769,2213,E,0.7576826879042659
deez nutz,O,JEdL,526,2348,473,E,0.5324167468754247
are you trying to suck? <PREV> gg,O,GWen,21,73,2021,E,0.43102878266893185
lol ez bait <prev> like how the fuck i know thats ur morph <PREV> when he can cast stun,O,Ｂ Ｅ Ｎ Ｎ,877,3970,2415,I,0.7214639193136129
hard to play ev5? :d <prev> speak russian <PREV> he wont get abandon,O,cobaca maosa,2627,11182,1846,E,0.6737096367118669
wew <PREV> lol noob hook,O,♥Khine♥ Thazin♥,788,3584,658,E,0.5301321717720372
"#reported io days a week fking idiots ive done done drugs for almost 2o years now and im fucking fine fine, sir? haha <prev> reported <PREV> wtf",O,EarthSpirit Point&ClickAdventur,1363,5973,744,E,0.8448320408090239
shit shit shit shitti :) <prev> menu <PREV> jizz,O,cK.1,29,105,2926,E,0.8645383224557386
team is the worst shit ever <prev> cant even hit more than i person with his ulti <PREV> they dont know how to team play,O,A. Tyrell - First of his Name,890,4012,2237,E,0.7757147308230488
nice gay festival motherless fucks <PREV> calm down frank,O,ballen i gruset,227,952,1401,E,0.5829974184285863
we ganked him a lot mid ... <prev> ..? look at his macro so noob qop destroy my game let him abandon <PREV> why sia,O,M0nK3y,2334,9996,1748,E,0.7427783418329315
gg wp <prev> ez <PREV> ??,O,k1rado,1925,8287,2454,I,0.7951804428562204
"i see u have a fuckload of games with es, u cant win without op hero? <prev> lol es ur so gay s[amming him es is just a spammer fag __slur_flag__ <PREV> #justekthinggs",O,Bacon,323,1370,1346,E,0.7987908630222705
gg retarded team tiny eus lc scepter __slur_flag__ <PREV> doom me every fight omg,O,agent gabe,1487,6595,3021,E,0.5259393065603968
tghrowers ahahaha fuck,O,stop playing fucking Jhűng? �,915,4108,1778,E,0.8577962839263694
w8 <PREV> ezz,O,[DTGP]stop crying,241,1012,2735,I,0.5881894135084373
stupid <prev> stupid??no ward gg <PREV> killed by wk,O,brebru,846,3820,1375,E,0.8891864762940015
yea go you uselses shit <prev> furion think he have the late game :d so sad :( <PREV> i jsut think we cant just run at their base like you are doing,O,Xmus Jaxon Flaxon-Waxon,2999,12723,2032,E,0.5175393356790853
that fucking wd stun srsly <PREV> :)),O,JR - Ddaji,502,2226,1611,E,0.6832133313500894
u fucking dog not kid :) <prev> noob dog like lc hahahahaha <PREV> lololol,O,Jontol Karan,502,2226,1752,E,0.930627709923944
typical ik mmr so ez to bait sry wrong chat <prev> we like rn ahaha we want rm ahaha <PREV> wjo talks?,O,kinMA,2284,9758,2026,I,0.793218841711965
ez <prev> ez <PREV> yes,O,Tuhao/ducky.AlwaysWannadive,1495,6614,2546,I,0.7305461872284922
lol <prev> noob <PREV> win with me,O,LocK~♥~,1066,4818,3646,E,0.7597502032584295
mad? <PREV> jhj,O,Scorpion Pinguin,917,4120,390,I,0.6253008235782174
^ <prev> rank fail shit teamates <PREV> how are u arryin carryin,O,FMJ,881,3987,1277,E,0.4865690355324683
noob <PREV> yeah u,O,Benito Mussolini,1747,7557,551,E,0.5361561823617242
end <prev> no support idiot alche <PREV> ask mid,O,SSR,668,3033,1858,E,0.6883950841743349
and pussy <prev> plz wait is shity now <PREV> why u so mad qop?,O,Red,2768,11790,-14,E,0.6969464636798813
fuck u brown <PREV> l:p:,O,Style,436,1859,4,E,0.737895792984159
cant believe i misclickded dagon,O,The Gambler,769,3498,1665,I,0.5907451784557632
games already over <prev> fail lol <PREV> yeah playing this kind of team with legion is boring,O,Arcadias,2189,9369,2519,I,0.6862088156930954
demand tango more please <prev> ur invoker got raped mid ?> <PREV> do uit,O,Exhausted,1276,5657,911,E,0.6305021982482668
useless support <prev> gg predict noob anti no push gay <PREV> omg,O,trafalgar law :D,1050,4731,2685,E,0.791206832245426
ez <prev> ez ta 2oo <PREV> for me,O,Markyymovessss,208,885,2130,I,0.8635484554850396
yes its not possible to win with these cores fucking proves mmr means nothing with this 5.5k slark <prev> its slark picker <PREV> if it was slark picker,O,HowYouLikeMeNow,2631,11206,1928,E,0.6449292427939156
cum back is realized <PREV> ++,O,Artail,2354,10122,931,E,0.5278935204288211
? i79 goldi so slardara na freefarme <prev> if everyone just fucking calms the fuck down and tries to win life would be so much better <PREV> after slardar,O,SparrOw-,715,3291,456,E,0.6384017850497782
:d <prev> ez games <PREV> all gosu here ^^,O,322,2982,12643,2540,I,0.9453257700549934
easy <prev> noob alche <PREV> yea i,O,Jin han,312,1337,2725,E,0.8960351720295703
hahahaha <prev> waw die <PREV> back,O,430,2468,10568,1075,I,0.515388387241481
that hate ^^,O,Gendalferino,3046,12914,3126,E,0.6884827603184187
our lesh gets ie free kills hahaha and he sucks dick <PREV> lesh is wrong meta,O,Europa,1584,6954,1211,E,0.758426171133217
